,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
70,70.0,0.04550744645701212,1.0,0.005875168603675434,2.0,0.03690678691340199,591.0
71,71.0,0.04421164895485907,1.0,0.00615690351414796,2.0,0.03690781325309569,592.0
72,72.0,0.042942002138849834,1.0,0.006443612160341752,2.0,0.03690857426227622,593.0
73,73.0,0.04169730240059908,1.0,0.0067349348064573746,2.0,0.03690911865307206,594.0
74,74.0,0.04047654483811326,1.0,0.007030492306725617,2.0,0.036909935777645245,595.0
75,75.0,0.03927886746567254,1.0,0.007329886842716388,2.0,0.036911097763090116,596.0
76,76.0,0.03810369018660638,1.0,0.0076327038288218135,2.0,0.036912249891014555,597.0
77,77.0,0.03695068047528529,1.0,0.007938513724091838,2.0,0.03691316755173999,598.0
78,78.0,0.03581974476825867,1.0,0.008246875247554502,2.0,0.036913974603186635,599.0
79,79.0,0.03471113947924702,1.0,0.00855733881987647,2.0,0.03691486899932384,600.0
80,80.0,0.033625402090773214,1.0,0.008869450390703072,2.0,0.036915875493720086,601.0
81,81.0,0.0325632593009343,1.0,0.009182756730346577,2.0,0.036916894086793016,602.0
82,82.0,0.03152562834627811,1.0,0.00949681071343603,2.0,0.03691787752481647,603.0
83,83.0,0.03051364391797667,1.0,0.009811176205750286,2.0,0.036918867360705473,604.0
84,84.0,0.029528479651625365,1.0,0.010125433276257619,2.0,0.03691990877139377,605.0
85,85.0,0.028571259757660887,1.0,0.01043918398039714,2.0,0.036920972322103535,606.0
86,86.0,0.027643129901649056,1.0,0.010752056537611498,2.0,0.03692201571746198,607.0
87,87.0,0.026745053871186874,1.0,0.011063708482208178,2.0,0.036923102053094216,608.0
88,88.0,0.025877829196131727,1.0,0.011373830382969886,2.0,0.03692429238221113,609.0
89,89.0,0.025042055866994366,1.0,0.01168214706238432,2.0,0.03692550923706128,610.0
90,90.0,0.02423807620715529,1.0,0.011988418488535593,2.0,0.03692666845339121,611.0
91,91.0,0.023465947088504472,1.0,0.012292439793332145,2.0,0.03692781658829054,612.0
92,92.0,0.022725433373737183,1.0,0.01259403999009137,2.0,0.03692902767705277,613.0
93,93.0,0.022016021479180626,1.0,0.012893079691029147,2.0,0.03693029197394904,614.0
94,94.0,0.02133686740492057,1.0,0.013189448064391377,2.0,0.03693154365620983,615.0
95,95.0,0.020686842519231717,1.0,0.013483059312042968,2.0,0.03693277527837397,616.0
96,96.0,0.02006458026375876,1.0,0.013773847818701432,2.0,0.036934054316327125,617.0
97,97.0,0.019468509302697265,1.0,0.014061763270212907,2.0,0.03693538420665712,618.0
98,98.0,0.018896949343962428,1.0,0.014346765876836054,2.0,0.036936694104066865,619.0
99,99.0,0.018348174594742625,1.0,0.014628821624244002,2.0,0.036937981549925204,620.0
100,100.0,0.01782047819042061,1.0,0.01490789857695846,2.0,0.036939314697567116,621.0
101,101.0,0.017312251153559426,1.0,0.015183963950727951,2.0,0.03694074206271604,622.0
102,102.0,0.016822036853640046,1.0,0.015456982106198608,2.0,0.03694227428455311,623.0
103,103.0,0.01634856692672497,1.0,0.01572691382535537,2.0,0.03694387903099555,624.0
104,104.0,0.01589077317581852,1.0,0.015993716632647984,2.0,0.036945465998900195,625.0
105,105.0,0.015447783509402626,1.0,0.0162573459602772,2.0,0.03694696714032276,626.0
106,106.0,0.015018893244739527,1.0,0.016517756822343584,2.0,0.036948426745155596,627.0
107,107.0,0.014603535734853323,1.0,0.016774905744233622,2.0,0.03694995916439884,628.0
108,108.0,0.01420123457495601,1.0,0.01702875251154623,2.0,0.036951623735437866,629.0
109,109.0,0.013811571749735421,1.0,0.017279261667070875,2.0,0.036953362816744745,630.0
110,110.0,0.013434173288236491,1.0,0.017526403373963412,2.0,0.03695507978754743,631.0
111,111.0,0.013068711343690196,1.0,0.017770153840204472,2.0,0.03695673976728062,632.0
112,112.0,0.012714887078912046,1.0,0.01801049556242475,2.0,0.03695838014038692,633.0
113,113.0,0.012372437889594587,1.0,0.01824741766336093,2.0,0.03696005827241985,634.0
114,114.0,0.012041128994206018,1.0,0.01848091597073802,2.0,0.03696180720348608,635.0
115,115.0,0.011720736429050997,1.0,0.018710993264240625,2.0,0.036963610560735584,636.0
116,116.0,0.011411035032052895,1.0,0.018937659405870055,2.0,0.03696542394002052,637.0
117,117.0,0.011111788603801262,1.0,0.019160931175129164,2.0,0.0369672280776806,638.0
118,118.0,0.01082276469760369,1.0,0.01938083187933495,2.0,0.03696903979276502,639.0
119,119.0,0.010543739800837719,1.0,0.0195973907644196,2.0,0.036970886791278225,640.0
120,120.0,0.010274500030499761,1.0,0.01981064270111599,2.0,0.036972770244425954,641.0
121,121.0,0.010014829548582908,1.0,0.020020627978105214,2.0,0.03697466070604147,642.0
122,122.0,0.009764509020372451,1.0,0.020227392119967817,2.0,0.03697653762074465,643.0
123,123.0,0.009523312390400695,1.0,0.02043098548066394,2.0,0.03697840657246356,644.0
124,124.0,0.009291004271808052,1.0,0.020631462804001036,2.0,0.03698027388169654,645.0
125,125.0,0.00906733705805024,1.0,0.020828882715097197,2.0,0.03698213163602281,646.0
126,126.0,0.008852047533553531,1.0,0.02102330715251947,2.0,0.036983990173177196,647.0
127,127.0,0.008644856159542982,1.0,0.02121480073296546,2.0,0.036985927049197585,648.0
128,128.0,0.008445466580709113,1.0,0.02140343003524353,2.0,0.03698804871535447,649.0
129,129.0,0.008253569314564033,1.0,0.02158926285823128,2.0,0.03699034223099327,650.0
130,130.0,0.008068844251523944,1.0,0.021772367458092065,2.0,0.03699261355683549,651.0
131,131.0,0.007890963663699381,1.0,0.02195281185722743,2.0,0.03699471621319866,652.0
132,132.0,0.007719589012006933,1.0,0.022130663204396522,2.0,0.036996727417217934,653.0
133,133.0,0.007554353220564254,1.0,0.02230598720124022,2.0,0.03699882732066313,654.0
134,134.0,0.00739475326398603,1.0,0.022478847460018016,2.0,0.037001076043800186,655.0
135,135.0,0.007239757647288769,1.0,0.022649304459915247,2.0,0.0370033475638562,656.0
136,136.0,0.0070878866757655935,1.0,0.02281741203501706,2.0,0.037005520716963086,657.0
137,137.0,0.006945728008994686,1.0,0.02298320471771011,2.0,0.037007646471172106,658.0
138,138.0,0.00681848490407701,1.0,0.023146686438149176,2.0,0.03700985538288081,659.0
139,139.0,0.00667701084570009,1.0,0.023308017306623987,2.0,0.03701216692815033,660.0
140,140.0,0.006543388640683025,1.0,0.02346748633936939,2.0,0.03701447748910561,661.0
141,141.0,0.006424170086176098,1.0,0.02362470387176314,2.0,0.03701671777049327,662.0
142,142.0,0.006299091025927142,1.0,0.023779796907722008,2.0,0.03701893135550488,663.0
143,143.0,0.006178928341095132,1.0,0.02393305464455616,2.0,0.037021197948461274,664.0
144,144.0,0.00606783504796718,1.0,0.024084287448891014,2.0,0.03702353076355522,665.0
145,145.0,0.005952791135303938,1.0,0.024233563718871667,2.0,0.03702586627984083,666.0
146,146.0,0.005844749655553441,1.0,0.024381056466975314,2.0,0.03702814429421446,667.0
147,147.0,0.005741174307863162,1.0,0.024526625073536628,2.0,0.03703036828422387,668.0
148,148.0,0.0056339032285886255,1.0,0.024670397213068573,2.0,0.037032582087607284,669.0
149,149.0,0.005538232948793648,1.0,0.024812442015698735,2.0,0.03703481126223328,670.0
150,150.0,0.005435389883068092,1.0,0.024952627809478236,2.0,0.037037041585286784,671.0
151,151.0,0.005342957432356469,1.0,0.025091205011384447,2.0,0.03703923765832449,672.0
152,152.0,0.00525100767857909,1.0,0.02522795714383592,2.0,0.03704143018381803,673.0
153,153.0,0.005162240871767508,1.0,0.02536311010321516,2.0,0.037043890689639786,674.0
154,154.0,0.005071306161202736,1.0,0.02549664257914802,2.0,0.03704659553901218,675.0
155,155.0,0.004982446847821038,1.0,0.025628602995289778,2.0,0.03704897704432195,676.0
156,156.0,0.004902006478492221,1.0,0.025758903885416264,2.0,0.03705111740853964,677.0
